league|id|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname
mlb|5785264|07:10 pm|2023-08-01|Los Angeles, CA|Athletics at Dodgers|Oakland Athletics at Los Angeles Dodgers|Dodger Stadium|     1|0.773|34.0718|-118.2460|Los Angeles Dodgers|Oakland Athletics|NA|NA| 21|  62|  1731|MLB|MLB Baseball
mlb|5785282|07:10 pm|2023-08-11|Los Angeles, CA|Rockies at Dodgers|Colorado Rockies at Los Angeles Dodgers|Dodger Stadium|     1|0.773|34.0718|-118.2460|Los Angeles Dodgers|Colorado Rockies|NA|NA| 45|  95|  1420|MLB|MLB Baseball
mlb|5787550|06:40 pm|2023-08-08|Phoenix, AZ|Dodgers at Diamondbacks|Los Angeles Dodgers at Arizona Diamondbacks|Chase Field|    30|0.771|33.4453|-112.0670|Arizona Diamondbacks|Los Angeles Dodgers|NA|NA| 37| 127|   411|MLB|MLB Baseball
mlb|5785032|07:05 pm|2023-08-15|Chicago, IL|White Sox at Cubs|Chicago White Sox at Chicago Cubs|Wrigley Field|    11|0.769|41.9475| -87.6562|Chicago Cubs|Chicago White Sox|NA|NA| 43| 117|  6665|MLB|MLB Baseball
mlb|5787951|01:35 pm|2023-08-06|Baltimore, MD|Mets at Orioles|New York Mets at Baltimore Orioles|Oriole Park at Camden Yards|    25|0.768|39.2840| -76.6199|Baltimore Orioles|New York Mets|NA|NA| 45| 100| 12004|MLB|MLB Baseball
mlb|5784990|07:05 pm|2023-07-31|Chicago, IL|Reds at Cubs|Cincinnati Reds at Chicago Cubs|Wrigley Field|    11|0.768|41.9475| -87.6562|Chicago Cubs|Cincinnati Reds|NA|NA| 21|  58|   796|MLB|MLB Baseball
mlb|5786180|07:10 pm|2023-08-07|Boston, MA|Royals at Red Sox|Kansas City Royals at Boston Red Sox|Fenway Park|    21|0.767|42.3456| -71.0983|Boston Red Sox|Kansas City Royals|NA|NA| 37|  79|  1804|MLB|MLB Baseball
mlb|5788482|06:10 pm|2023-08-05|Milwaukee, WI|Pirates at Brewers|Pittsburgh Pirates at Milwaukee Brewers|American Family Field|    15|0.765|43.0296| -87.9725|Milwaukee Brewers|Pittsburgh Pirates|NA|NA| 21|  52| 12724|MLB|MLB Baseball
mlb|5785272|07:10 pm|2023-08-08|Flushing, NY|Cubs at Mets|Chicago Cubs at New York Mets|Citi Field|     3|0.688|40.7564| -73.8459|New York Mets|Chicago Cubs|NA|NA| 10|  29|  1204|MLB|MLB Baseball
mlb|5785990|07:05 pm|2023-08-14|Arlington, TX|Angels at Rangers|Los Angeles Angels at Texas Rangers|Globe Life Field|487468|0.687|32.7472| -97.0838|Texas Rangers|Los Angeles Angels|NA|NA| 16|  38|  8064|MLB|MLB Baseball
mlb|5787560|06:40 pm|2023-08-11|Phoenix, AZ|Padres at Diamondbacks|San Diego Padres at Arizona Diamondbacks|Chase Field|    30|0.685|33.4453|-112.0670|Arizona Diamondbacks|San Diego Padres|NA|NA| 27| 100|   364|MLB|MLB Baseball
mlb|5785686|07:10 pm|2023-09-01|Houston, TX|Yankees at Astros|New York Yankees at Houston Astros|Minute Maid Park|    20|0.763|29.7562| -95.3557|Houston Astros|New York Yankees|NA|NA| 61| 161|   703|MLB|MLB Baseball
mlb|5788866|01:40 pm|2023-08-06|Detroit, MI|Rays at Tigers|Tampa Bay Rays at Detroit Tigers|Comerica Park|    12|0.684|42.3390| -83.0485|Detroit Tigers|Tampa Bay Rays|NA|NA| 23|  45|   335|MLB|MLB Baseball
mlb|5786002|07:20 pm|2023-08-18|Atlanta, GA|Giants at Braves|San Francisco Giants at Atlanta Braves|Truist Park|418889|0.763|33.8897| -84.4654|Atlanta Braves|San Francisco Giants|NA|NA| 35|  92|   977|MLB|MLB Baseball
