league|time|date|city|title|full|venue|ven_id|score|lat|long|t1|t2|t3|t4|low|med|high|name|xname|id
ncaa_football|12:00 pm|2022-11-19|Normal, IL|Western Illinois at Illinois State|Western Illinois Leathernecks at Illinois State Redbirds Football|Hancock Stadium|  5906|0.541|40.5115| -88.9923|Illinois State Redbirds Football|Western Illinois Leathernecks Football|NA|NA| 24|  63|   208|NCAA FB|College Football| 311
ncaa_football|03:30 pm|2022-11-19|Buffalo, NY|Akron at Buffalo|Akron Zips at Buffalo Bulls Football|UB Stadium| 47725|0.351|43.0005| -78.7800|Buffalo Bulls Football|Akron Zips Football|NA|NA| 36|  71|    84|NCAA FB|College Football| 312
ncaa_football|03:30 am|2022-11-19|Ames, IA|Texas Tech Red Raiders at Iowa State Cyclones Football|Texas Tech Red Raiders at Iowa State Cyclones Football|MidAmerican Energy Field at Jack Trice Stadium|  2747|0.723|42.0150| -93.6358|Iowa State Cyclones Football|Texas Tech Red Raiders Football|NA|NA| 17| 114|  1524|NCAA FB|College Football| 313
ncaa_football|02:30 pm|2022-11-12|San Antonio, TX|Louisiana Tech at UTSA|Louisiana Tech Bulldogs at UTSA Roadrunners Football	|Alamodome|  3726|0.549|29.4169| -98.4788|UTSA Roadrunners Football|Louisiana Tech Bulldogs Football|NA|NA| 23|  70|   716|NCAA FB|College Football| 314
ncaa_football|03:30 am|2022-11-19|Greenville, NC|Houston at East Carolina|Houston Cougars at East Carolina Pirates Football|Dowdy-Ficklen Stadium|  2790|0.682|35.5965| -77.3653|East Carolina Pirates Football|Houston Cougars Football|NA|NA| 14|  42|   404|NCAA FB|College Football| 315
ncaa_football|12:00 pm|2022-11-25|Kalamazoo, MI|Toledo at Western Michigan|Toledo Rockets at Western Michigan Broncos Football|Waldo Stadium|  2820|0.438|42.2851| -85.6122|Western Michigan Broncos Football|Toledo Rockets Football|NA|NA| 15|  41|    97|NCAA FB|College Football| 316
ncaa_football|02:30 pm|2022-11-26|San Antonio, TX|UTEP at UTSA|UTEP Miners at UTSA Roadrunners Football	|Alamodome|  3726|0.551|29.4169| -98.4788|UTSA Roadrunners Football|UTEP Miners Football|NA|NA| 31|  70|   428|NCAA FB|College Football| 317
ncaa_football|12:00 pm|2022-11-19|Tallahassee, FL|Louisiana at Florida State|Louisiana Ragin' Cajuns at Florida State Seminoles Football|Doak Campbell Stadium|  2751|0.808|30.4377| -84.3050|Florida State Seminoles Football|Louisiana Ragin' Cajuns Football|NA|NA| 25|  47|   236|NCAA FB|College Football| 318
ncaa_football|05:00 pm|2022-11-12|San Luis Obispo, CA|Montana State at Cal Poly|Montana State Bobcats at Cal Poly Mustangs Football|Alex G. Spanos Stadium|  5936|0.587|35.3005|-120.6580|Cal Poly Mustangs Football|Montana State Bobcats Football|NA|NA| 33|  35|    71|NCAA FB|College Football| 319
ncaa_football|11:00 am|2022-11-26|Mobile, AL|Old Dominion at South Alabama|Old Dominion Monarchs at South Alabama Jaguars Football|Hancock Whitney Stadium|515496|0.480|30.6967| -88.1910|South Alabama Jaguars Football|Old Dominion Monarchs Football|NA|NA| 30|  49|   109|NCAA FB|College Football| 320
